Course,Birth_Date,Gender,Nationality,Arrival_Medium,Arrival_Company,Arrival_Number,Name,Comienzo,Llegada
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/16/2021 to 07/23/2021,20/09/2005,Male,USA,Plane,American Airlines,AA94,Darrell Bass,2021-07-16,2022-07-15
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/02/2021 to 07/09/2021,03/02/2006,Male,UNITED KINGDOM,Plane,Brussels Airlines,SN3721,John Combs,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/02/2021 to 07/09/2021,16/01/2006,Male,UNITED KINGDOM,Plane,Iberia,IB3633,Sean Moore,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/02/2021 to 07/16/2021,11/11/2004,Female,IRELAND,Plane,Ryanair,FR7256,Danielle Livingston,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/16/2021 to 07/23/2021,16/06/2004,Female,CANADA,Plane,Air Europa,UX1502,Nicole Rangel,2021-07-16,2022-07-15
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/02/2021 to 07/16/2021,30/07/2006,Male,FRANCE,Plane,Iberia Express,I23633,Joseph Griffith,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/16/2021 to 07/23/2021,30/05/2004,Female,UNITED KINGDOM,Plane,Ryanair,FR5994,Dr. Melissa Rodgers,2021-07-16,2022-07-15
Valverde TEENS-VOLUNTEER 1 WEEK from 07/09/2021 to 07/16/2021,23/08/2005,Female,USA,Plane,Delta Airlines ,DL126,Catherine Frazier,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/16/2021 to 07/23/2021,28/09/2003,Female,SPAIN,Car,Parents,family car,Jessica Johnson,2021-07-16,2022-07-15
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/16/2021 to 07/23/2021,04/03/2005,Male,UNITED KINGDOM,Plane,Iberia,IB3177,Austin Wright,2021-07-16,2022-07-15
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/09/2021 to 07/23/2021,06/12/2003,Male,CANADA,Plane,Air Canada (Lufthansa),AC9180,Vincent Griffith,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/16/2021 to 07/23/2021,03/01/2006,Male,USA,Plane,American Airlines,AA36,Eric Johnson,2021-07-16,2022-07-15
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/09/2021 to 07/23/2021,12/08/2006,Male,UNITED KINGDOM,Train,Renfe,AVE02093,Gregory Mathis,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/02/2021 to 07/09/2021,31/12/2003,Male,USA,Plane,Iberia,IB3405,David Chapman,2021-07-02,2022-07-01
